term,definition
denylist process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
detection engineering,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
detection engineering analysis,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
detection engineering management,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
detection engineering monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
detection engineering policy,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
detection engineering process,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
digital certificate,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
digital certificate analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
digital certificate management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
digital certificate monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
digital certificate policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
digital certificate process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
digital evidence,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital evidence analysis,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital evidence management,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital evidence monitoring,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital evidence policy,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital evidence process,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital forensics,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital forensics analysis,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital forensics management,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital forensics monitoring,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital forensics policy,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
digital forensics process,"Structured practice for collecting, preserving, analyzing, and documenting digital evidence using controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting. controlled procedures that maintain chain of custody and integrity; outputs support investigations and legal proceedings with reproducible methodology and reporting."
directory traversal,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
directory traversal analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
directory traversal management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
directory traversal monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
directory traversal policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
directory traversal process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
disaster recovery,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
disaster recovery analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
disaster recovery management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
disaster recovery monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
disaster recovery policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
disaster recovery process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
dns poisoning,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
DNS poisoning analysis,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
DNS poisoning management,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
DNS poisoning monitoring,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
DNS poisoning policy,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
DNS poisoning process,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
drive-by download,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
drive-by download analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
drive-by download management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
drive-by download monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
drive-by download policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
drive-by download process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
dummy traffic,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
dummy traffic analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
dummy traffic management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
dummy traffic monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
dummy traffic policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
dummy traffic process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
eavesdropping,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
eavesdropping analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
eavesdropping management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
eavesdropping monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
eavesdropping policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
eavesdropping process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
encryption,"Technical mechanism or process related to cryptography: it ensures confidentiality, integrity, or authentication through mathematical operations, key management, and protocol integration; typically used to protect data at rest or in transit and to verify origin and integrity in secure communications."
encryption analysis,"Technical mechanism or process related to cryptography: it ensures confidentiality, integrity, or authentication through mathematical operations, key management, and protocol integration; typically used to protect data at rest or in transit and to verify origin and integrity in secure communications."
encryption management,"Technical mechanism or process related to cryptography: it ensures confidentiality, integrity, or authentication through mathematical operations, key management, and protocol integration; typically used to protect data at rest or in transit and to verify origin and integrity in secure communications."
encryption monitoring,"Technical mechanism or process related to cryptography: it ensures confidentiality, integrity, or authentication through mathematical operations, key management, and protocol integration; typically used to protect data at rest or in transit and to verify origin and integrity in secure communications."
encryption policy,"Technical mechanism or process related to cryptography: it ensures confidentiality, integrity, or authentication through mathematical operations, key management, and protocol integration; typically used to protect data at rest or in transit and to verify origin and integrity in secure communications."
encryption process,"Technical mechanism or process related to cryptography: it ensures confidentiality, integrity, or authentication through mathematical operations, key management, and protocol integration; typically used to protect data at rest or in transit and to verify origin and integrity in secure communications."
endpoint detection,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint detection analysis,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint detection management,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint detection monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint detection policy,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint detection process,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint protection,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
endpoint protection analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
endpoint protection management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
endpoint protection monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
endpoint protection policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
endpoint protection process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
entropy,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
entropy analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
entropy management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
entropy monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
entropy policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
entropy process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
ethical hacking,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
ethical hacking analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
ethical hacking management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
ethical hacking monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
ethical hacking policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
ethical hacking process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
exploit,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
exploit analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
exploit management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
exploit monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
exploit policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
exploit process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
exposure,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
