term,definition
Incident Response,"Incident Response – The structured approach to handling security breaches or incidents (NIST SP 800-61)."
Incident Response Plan (IRP),"Incident Response Plan (IRP) – A documented set of instructions to detect, respond to, and recover from incidents (NIST SP 800-61)."
Indicator of Compromise (IOC),"Indicator of Compromise (IOC) – A forensic artifact or observable that indicates potential malicious activity (MITRE)."
Indicator of Exposure (IOE),"Indicator of Exposure (IOE) – An indicator suggesting a vulnerability that could be exploited (MITRE)."
Industrial Control System (ICS),"Industrial Control System (ICS) – Hardware and software for controlling industrial processes (NIST SP 800-82)."
Information Assurance,"Information Assurance – Measures that protect and defend information and information systems (CNSSI 4009)."
Information Leak,"Information Leak – The exposure of sensitive information due to misconfiguration or error (NIST)."
Information Rights Management (IRM),"Information Rights Management (IRM) – Technologies controlling access to sensitive documents (Microsoft)."
Information Security,"Information Security – Preservation of confidentiality, integrity, and availability of information (ISO/IEC 27000:2022)."
Information Security Management System (ISMS),"Information Security Management System (ISMS) – A systematic approach to managing sensitive company information so that it remains secure (ISO/IEC 27001)."
Information Sharing,"Information Sharing – The exchange of threat intelligence between organizations (NIST SP 800-150)."
Infrastructure as a Service (IaaS),"Infrastructure as a Service (IaaS) – A cloud computing model providing virtualized computing resources (NIST SP 800-146)."
Injection Attack,"Injection Attack – The insertion of malicious code into an application to execute unintended commands (OWASP)."
Insider Threat,"Insider Threat – A threat originating from within an organization, such as an employee (NIST SP 800-53)."
Integrity,"Integrity – The property of safeguarding the accuracy and completeness of assets (ISO/IEC 27000:2022)."
Integrity Check Value (ICV),"Integrity Check Value (ICV) – A value computed from a message to verify its integrity (NIST)."
Intelligent Transportation System (ITS),"Intelligent Transportation System (ITS) – Systems applying advanced technologies to transportation (NIST)."
Internet Control Message Protocol (ICMP),"Internet Control Message Protocol (ICMP) – A supporting protocol for IP used for diagnostics (RFC 792)."
Internet of Things (IoT),"Internet of Things (IoT) – A paradigm for uniquely identifiable objects and their virtual representations in an Internet-like structure (NIST IR 8228)."
Intrusion,"Intrusion – The unauthorized access, use, or modification of a system (NIST SP 800-61)."
Intrusion Detection System (IDS),"Intrusion Detection System (IDS) – Software or hardware that detects malicious activity (NIST SP 800-94)."
Intrusion Prevention System (IPS),"Intrusion Prevention System (IPS) – A system that detects and blocks intrusions in real-time (NIST SP 800-94)."
IP Address Spoofing,"IP Address Spoofing – Forging the source IP address in packets to impersonate another system (RFC 2827)."
IPsec,"IPsec – A suite of protocols for securing IP communications by authenticating and encrypting packets (RFC 4301)."
IPv6,"IPv6 – The sixth version of the Internet Protocol, providing larger address space (RFC 8200)."
ISO/IEC 27001,"ISO/IEC 27001 – The international standard for establishing, implementing, maintaining, and continually improving an ISMS (ISO/IEC 27001:2022)."
ISO/IEC 27002,"ISO/IEC 27002 – A code of practice providing guidelines for information security controls (ISO/IEC 27002:2022)."
ISO/IEC 27005,"ISO/IEC 27005 – Guidelines for information security risk management (ISO)."
JavaScript Object Notation (JSON),"JavaScript Object Notation (JSON) – A lightweight data-interchange format (RFC 8259)."
John the Ripper,"John the Ripper – An open-source password cracking tool (Open Source)."
Kerberos,"Kerberos – A network authentication protocol using secret-key cryptography (RFC 4120)."
Kerberoasting,"Kerberoasting – An attack requesting Kerberos tickets for service accounts to crack offline (MITRE ATT&CK T1558.003)."
Key Exchange,"Key Exchange – The process of agreeing on a shared secret key securely (NIST SP 800-56A)."
Key Escrow,"Key Escrow – A process where a third party holds a copy of a private key for recovery (NIST)."
Keylogger,"Keylogger – A tool that captures keystrokes to steal sensitive information (NIST)."
Key Management,"Key Management – The processes for generating, distributing, storing, and destroying cryptographic keys (NIST SP 800-57)."
Key Performance Indicator (KPI),"Key Performance Indicator (KPI) – A measurable value demonstrating how effectively security objectives are achieved (ISO/IEC 27004)."
Keystroke Dynamics,"Keystroke Dynamics – A biometric method analyzing typing patterns for authentication (NIST)."
Kill Chain,"Kill Chain – A model for the stages of a cyber attack (MITRE ATT&CK)."
Known Exploited Vulnerabilities (KEV),"Known Exploited Vulnerabilities (KEV) – A catalog of vulnerabilities known to be exploited in the wild (CISA)."
Lateral Movement,"Lateral Movement – The technique of moving from one compromised system to another within a network (MITRE ATT&CK TA0008)."
Layer 2 Tunneling Protocol (L2TP),"Layer 2 Tunneling Protocol (L2TP) – A tunneling protocol used with IPsec for VPNs (RFC 2661)."
Layered Security,"Layered Security – The use of multiple, overlapping controls to protect against threats (NIST)."
Least Privilege,"Least Privilege – The principle that a user or process should have access only to what is required to perform its function (NIST SP 800-53)."
Legal Hold,"Legal Hold – A process to preserve relevant data for litigation or investigation (FRCP)."
Live Forensics,"Live Forensics – The collection and analysis of volatile data from a running system (NIST SP 800-86)."
Live Response,"Live Response – Immediate actions taken during an incident to contain and mitigate damage (NIST SP 800-61)."
Living Off the Land,"Living Off the Land – Using legitimate tools and features on a system for malicious purposes (MITRE ATT&CK)."
Load Balancing,"Load Balancing – Distributing network traffic across multiple servers to optimize performance (NIST)."
Local Security Authority (LSA),"Local Security Authority (LSA) – A Windows component handling authentication (Microsoft)."
Logic Bomb,"Logic Bomb – Malicious code that activates upon a specific trigger or condition (NIST)."
Log Analysis,"Log Analysis – The examination of log files to identify security events (NIST SP 800-92)."
Log Management,"Log Management – The process of collecting, storing, and disposing of log data (NIST SP 800-92)."
Log Tampering,"Log Tampering – Altering or deleting log entries to conceal malicious activity (SANS)."
Logging,"Logging – The recording of events for later review and analysis (NIST SP 800-92)."
Machine Learning,"Machine Learning – A subset of AI involving algorithms that learn from data (NIST)."
MAC Address,"MAC Address – A unique identifier assigned to network interfaces for communications (IEEE 802)."
MAC Spoofing,"MAC Spoofing – Changing the MAC address to bypass network access controls (OWASP)."
Malicious Code,"Malicious Code – Any code added, changed, or removed from a system to cause harm or subvert its intended function (NIST SP 800-83)."
Malware,"Malware – Software or firmware intentionally designed to perform malicious actions (NIST SP 800-83)."
Malware Analysis,"Malware Analysis – The process of determining the functionality and characteristics of malware (SANS)."
Man-in-the-Browser (MITB),"Man-in-the-Browser (MITB) – Malware that infects a browser to intercept and modify web sessions (SANS)."
Man-in-the-Middle (MITM),"Man-in-the-Middle (MITM) – An attack where the adversary relays and possibly alters communication between two parties (RFC 4949)."
Mandatory Access Control (MAC),"Mandatory Access Control (MAC) – A means of restricting access to objects based on the sensitivity of information and clearance of subjects (NIST SP 800-53)."
Master Boot Record (MBR),"Master Boot Record (MBR) – The first sector of a partitioned disk containing the partition table (NIST)."
Mean Time Between Failures (MTBF),"Mean Time Between Failures (MTBF) – A reliability metric indicating average time until a failure (NIST)."
Mean Time to Repair (MTTR),"Mean Time to Repair (MTTR) – The average time to restore a system after failure (NIST)."
Memory Forensics,"Memory Forensics – The analysis of volatile data in RAM to identify malicious activity (Volatility Framework)."
Memory Scraping,"Memory Scraping – Extracting sensitive data from a process's memory space (MITRE ATT&CK)."
Metadata,"Metadata – Data about data, such as timestamps or authorship, often embedded in files (NIST SP 800-86)."
Metasploit,"Metasploit – An open-source framework for developing and executing exploit code (Rapid7)."
Mobile Device Management (MDM),"Mobile Device Management (MDM) – Software for controlling and securing mobile devices in an organization (NIST SP 800-124)."
Multi-Factor Authentication (MFA),"Multi-Factor Authentication (MFA) – Authentication using two or more factors to verify identity (NIST SP 800-63B)."
Nation-State Actor,"Nation-State Actor – An adversary sponsored by a government to conduct cyber operations (NIST)."
Near Field Communication (NFC),"Near Field Communication (NFC) – A set of communication protocols for short-range wireless exchange (ISO/IEC 14443)."
Nessus,"Nessus – A vulnerability scanner used to identify security weaknesses (Tenable)."
Netcat,"Netcat – A versatile networking tool for reading and writing data across network connections (Open Source)."
Network Access Control (NAC),"Network Access Control (NAC) – Policies and tools to enforce security on devices connecting to a network (NIST SP 800-53)."
Network Address Translation (NAT),"Network Address Translation (NAT) – A method of remapping IP addresses between private and public networks (RFC 1631)."
Network Forensics,"Network Forensics – The capture, recording, and analysis of network events to discover the source of security incidents (NIST SP 800-86)."
Network Intrusion Detection System (NIDS),"Network Intrusion Detection System (NIDS) – An IDS monitoring network traffic for threats (NIST SP 800-94)."
Network Segmentation,"Network Segmentation – Dividing a network into subnetworks to limit breach scope (NIST SP 800-41)."
Nmap,"Nmap – A free and open-source network mapper and port scanner (nmap.org)."
Non-Repudiation,"Non-Repudiation – The assurance that the sender of information cannot deny having sent it (ISO/IEC 27000:2022)."
OAuth,"OAuth – An open standard for token-based authentication and authorization (RFC 6749)."
Open Source Intelligence (OSINT),"Open Source Intelligence (OSINT) – Intelligence collected from publicly available sources (SANS)."
Open Web Application Security Project (OWASP),"Open Web Application Security Project (OWASP) – A nonprofit foundation dedicated to improving software security (OWASP)."
Operating System Fingerprinting,"Operating System Fingerprinting – Identifying an OS from characteristics in network traffic (Nmap)."
Packet Capture,"Packet Capture – The recording of data packets passing through a network interface (Wireshark)."
Packet Sniffer,"Packet Sniffer – A tool for intercepting and logging network traffic (Wireshark)."
Pass the Hash,"Pass the Hash – A technique using stolen password hashes for authentication without the plaintext password (Microsoft)."
Password Cracking,"Password Cracking – The process of recovering passwords from stored hashes (OWASP)."
Password Spraying,"Password Spraying – An attack trying a single password against many accounts to avoid lockouts (OWASP)."
Patch,"Patch – A software update that fixes bugs or vulnerabilities (NIST SP 800-40)."
Patch Management,"Patch Management – The process of identifying, acquiring, installing, and verifying patches (NIST SP 800-40)."
Penetration Testing,"Penetration Testing – Authorized simulated attacks to identify vulnerabilities (NIST SP 800-115)."
Pharming,"Pharming – Redirecting users from legitimate sites to fraudulent ones via DNS manipulation (OWASP)."
Phishing,"Phishing – A social engineering attack to obtain sensitive information by masquerading as a trustworthy entity (NIST SP 800-63)."
Physical Security,"Physical Security – Measures to protect systems and data from physical threats (ISO/IEC 27002)."
PII,"Personally Identifiable Information (PII) – Information that can identify or be used to identify a specific individual (NIST SP 800-122)."
Polymorphic Malware,"Polymorphic Malware – Malware that changes its code to evade signature-based detection (SANS)."
Port,"Port – A logical endpoint for communication in TCP or UDP (RFC 793)."
Port Scanning,"Port Scanning – The process of probing a network host for open ports (Nmap)."
Post-Exploitation,"Post-Exploitation – Activities performed after initial access to maintain presence and achieve objectives (MITRE ATT&CK)."
Pretexting,"Pretexting – A social engineering tactic creating a fabricated scenario to obtain information (SANS)."
Privilege Escalation,"Privilege Escalation – Gaining higher access rights than originally granted (MITRE ATT&CK TA0004)."
Privileged Access Management (PAM),"Privileged Access Management (PAM) – Processes and tools for controlling privileged accounts (NIST SP 800-53)."
Proof of Concept (PoC),"Proof of Concept (PoC) – A demonstration that a vulnerability is exploitable (SANS)."
Proxy Server,"Proxy Server – An intermediary server between a client and the internet for requests (RFC 2616)."
Purple Team,"Purple Team – A collaborative exercise between red and blue teams to improve detection and response (SANS)."
Quarantine,"Quarantine – Isolating infected systems to prevent spread (NIST SP 800-83)."
Ransomware,"Ransomware – Malware that encrypts files and demands payment for decryption (NIST)."
Rainbow Table,"Rainbow Table – A precomputed table for reversing cryptographic hash functions (Ophcrack)."
RADIUS,"RADIUS – Remote Authentication Dial-In User Service, an AAA protocol (RFC 2865)."
Reconnaissance,"Reconnaissance – The initial phase of gathering information about a target (MITRE ATT&CK TA0043)."
Red Team,"Red Team – A group simulating attacks to test defenses (SANS)."
Registry,"Registry – A hierarchical database storing configuration settings in Windows (Microsoft)."
Registry Forensics,"Registry Forensics – Analysis of registry artifacts for evidence of user activity (NIST SP 800-86)."
Remote Access Trojan (RAT),"Remote Access Trojan (RAT) – Malware allowing remote control of a system (SANS)."
Reverse Engineering,"Reverse Engineering – The process of disassembling software to understand its functionality (SANS)."
Risk,"Risk – The potential for loss of value to an organization from a threat exploiting a vulnerability (ISO/IEC 27005)."
Risk Assessment,"Risk Assessment – The overall process of risk identification, analysis, and evaluation (ISO/IEC 27005)."
Role-Based Access Control (RBAC),"Role-Based Access Control (RBAC) – Access control based on roles assigned to users (NIST SP 800-53)."
Rootkit,"Rootkit – Software designed to hide the existence of malicious code (NIST)."
Root Certificate,"Root Certificate – A self-signed certificate at the top of a certificate chain of trust (RFC 5280)."
Rogue Access Point,"Rogue Access Point – An unauthorized wireless access point on a network (NIST)."
Salting,"Salting – Adding random data to passwords before hashing to prevent precomputed attacks (NIST SP 800-63B)."
Sandbox,"Sandbox – An isolated environment for running untrusted code safely (SANS)."
Secure Boot,"Secure Boot – A process ensuring only trusted software boots the system (NIST SP 800-193)."
Secure Shell (SSH),"Secure Shell (SSH) – A protocol for secure remote login and command execution (RFC 4251)."
Secure Sockets Layer (SSL),"Secure Sockets Layer (SSL) – A deprecated protocol for secure web communications, replaced by TLS (NIST)."
Security Assertion Markup Language (SAML),"Security Assertion Markup Language (SAML) – An XML-based standard for exchanging authentication and authorization data (OASIS)."
Security Information and Event Management (SIEM),"Security Information and Event Management (SIEM) – A system for collecting and analyzing security data in real-time (NIST SP 800-137)."
Security Operations Center (SOC),"Security Operations Center (SOC) – A centralized function for monitoring and responding to security events (SANS)."
Security Orchestration, Automation and Response (SOAR),"Security Orchestration, Automation and Response (SOAR) – Platforms automating incident response workflows (Gartner)."
Session Hijacking,"Session Hijacking – Intercepting a legitimate session to gain unauthorized access (OWASP)."
Shoulder Surfing,"Shoulder Surfing – Observing someone entering credentials to steal them (OWASP)."
Signature-Based Detection,"Signature-Based Detection – Identifying threats by matching known patterns or signatures (NIST SP 800-83)."
Smishing,"Smishing – Phishing attacks delivered via SMS (NIST)."
Sniffing,"Sniffing – Capturing and analyzing network traffic (Wireshark)."
Social Engineering,"Social Engineering – Psychological manipulation to trick individuals into divulging confidential information (SANS)."
Software-Defined Networking (SDN),"Software-Defined Networking (SDN) – An approach to networking separating control plane from data plane (ONF)."
Spear Phishing,"Spear Phishing – Targeted phishing aimed at specific individuals (NIST)."
Spoofing,"Spoofing – Impersonation by falsifying data to appear as a trusted entity (RFC 4949)."
SQL Injection,"SQL Injection – An attack injecting malicious SQL code into a query to manipulate a database (OWASP)."
State-Sponsored Attack,"State-Sponsored Attack – Cyber operations conducted or funded by a government (NIST)."
Static Analysis,"Static Analysis – Examination of code without execution to find vulnerabilities (SANS)."
Steganography,"Steganography – The art of hiding information within other information (NIST)."
Supply Chain Attack,"Supply Chain Attack – Compromising a trusted vendor to infiltrate targets (NIST IR 8276)."
Symmetric Encryption,"Symmetric Encryption – Encryption using the same key for both encryption and decryption (NIST SP 800-57)."
Syslog,"Syslog – A standard protocol for message logging (RFC 5424)."
System Integrity,"System Integrity – Protection against unauthorized modification of system components (NIST SP 800-53)."
Tactics, Techniques, and Procedures (TTP),"Tactics, Techniques, and Procedures (TTP) – The methods and behaviors used by adversaries (MITRE ATT&CK)."
Tailgating,"Tailgating – Gaining physical access by following an authorized person (SANS)."
Threat,"Threat – A potential cause of an unwanted incident that may result in harm to a system or organization (ISO/IEC 27005)."
Threat Actor,"Threat Actor – An individual or group that acts with malicious intent (MITRE)."
Threat Hunting,"Threat Hunting – Proactively searching for threats that have evaded detection (SANS)."
Threat Intelligence,"Threat Intelligence – Knowledge about threats, including actors, campaigns, and vulnerabilities (NIST SP 800-150)."
Threat Modeling,"Threat Modeling – A structured approach to identifying and prioritizing threats (Microsoft SDL)."
Time Stomping,"Time Stomping – Altering file timestamps to evade detection (SANS)."
Token,"Token – A physical or electronic object used for authentication (NIST SP 800-63B)."
Tokenization,"Tokenization – Replacing sensitive data with non-sensitive substitutes (NIST SP 800-57)."
Tor,"Tor – The Onion Router, a network for anonymous communication (Tor Project)."
Transport Layer Security (TLS),"Transport Layer Security (TLS) – A protocol providing secure communication over the internet (RFC 8446)."
Trojan Horse,"Trojan Horse – Malware disguised as legitimate software to trick users (NIST)."
Two-Factor Authentication (2FA),"Two-Factor Authentication (2FA) – Authentication requiring two distinct factors (NIST SP 800-63B)."
Virtual Private Network (VPN),"Virtual Private Network (VPN) – A secure tunnel for remote access over public networks (RFC 2764)."
Virus,"Virus – A self-replicating program that attaches to legitimate files (NIST)."
Vishing,"Vishing – Voice phishing attacks over phone (NIST)."
Vulnerability,"Vulnerability – A weakness in a system that could be exploited (ISO/IEC 27005)."
Vulnerability Assessment,"Vulnerability Assessment – Systematic examination of systems to identify weaknesses (NIST SP 800-115)."
Vulnerability Management,"Vulnerability Management – The process of identifying, evaluating, and addressing vulnerabilities (NIST SP 800-40)."
Vulnerability Scanner,"Vulnerability Scanner – Automated tool for discovering known vulnerabilities (NIST SP 800-115)."
Watering Hole Attack,"Watering Hole Attack – Compromising websites frequented by targets to infect visitors (MITRE ATT&CK T1189)."
Web Application Firewall (WAF),"Web Application Firewall (WAF) – A security device filtering HTTP traffic to block attacks (OWASP)."
Whaling,"Whaling – Phishing targeting high-level executives (SANS)."
Wi-Fi Protected Access (WPA),"Wi-Fi Protected Access (WPA) – A security protocol for wireless networks (IEEE 802.11i)."
Wipe,"Wipe – Securely overwriting data to prevent recovery (NIST SP 800-88)."
Wireless Intrusion Detection System (WIDS),"Wireless Intrusion Detection System (WIDS) – Monitoring wireless networks for threats (NIST)."
Worm,"Worm – Self-replicating malware that spreads independently (NIST)."
Zero Day,"Zero Day – A vulnerability exploited before a patch is available (NIST SP 800-53)."
Zero Trust Architecture,"Zero Trust Architecture – A security model that assumes no trust and requires verification for every access request (NIST SP 800-207)."
Zombie,"Zombie – A compromised device used in botnets for attacks (NIST)."
Acceptable Use Policy (AUP),"Acceptable Use Policy (AUP) – A policy defining permitted and prohibited uses of organizational IT resources (ISO/IEC 27002)."
Accountability,"Accountability – The property that enables activities or actions taken by an entity to be traced uniquely to that entity (ISO/IEC 27000:2022)."
Active Directory Federation Services (ADFS),"Active Directory Federation Services (ADFS) – Microsoft's implementation of federation services for single sign-on (Microsoft)."
Advanced Encryption Standard-128 (AES-128),"Advanced Encryption Standard-128 (AES-128) – AES with 128-bit key length for symmetric encryption (FIPS 197)."
Advanced Persistent Threat Group,"Advanced Persistent Threat Group – Organized adversaries with sustained access to networks for espionage or disruption (NIST SP 800-39)."
Air Gap,"Air Gap – Physical separation of a system from all networks to prevent data transfer (NIST SP 800-53)."
Algorithm,"Algorithm – A finite set of steps for solving a problem, used in cryptography for encryption/decryption (NIST SP 800-57)."
Allowlisting,"Allowlisting – The practice of specifying an explicit list of programs, devices, or users allowed access (NIST SP 800-167)."
Anomaly-Based Intrusion Detection,"Anomaly-Based Intrusion Detection – Detection using statistical models to identify deviations from normal behavior (NIST SP 800-94)."
Anti-Virus (AV),"Anti-Virus (AV) – Software that detects and removes viruses and other malware (NIST SP 800-83)."
Application Firewall,"Application Firewall – A firewall operating at the application layer to filter traffic based on application data (NIST SP 800-41)."
Application Security Testing,"Application Security Testing – Methods like SAST and DAST to identify vulnerabilities in software (OWASP)."
Asset Inventory,"Asset Inventory – A comprehensive list of all organizational assets, including hardware and software (ISO/IEC 27001)."
Asymmetric Key Algorithm,"Asymmetric Key Algorithm – Cryptographic algorithm using public/private key pairs, e.g., RSA (NIST SP 800-57)."
Attack Vector,"Attack Vector – A path or means by which an attacker can gain access to a system (MITRE ATT&CK)."
Audit,"Audit – An independent review and examination of records and activities to assess compliance (ISO/IEC 27001)."
Audit Review,"Audit Review – The process of analyzing audit logs for security events (NIST SP 800-92)."
Authentication Header (AH),"Authentication Header (AH) – IPsec protocol providing integrity and authentication without confidentiality (RFC 4302)."
Authentication Server,"Authentication Server – A server that verifies user identities during login (RFC 2865)."
Authorization Server,"Authorization Server – Server issuing access tokens in OAuth (RFC 6749)."
Automated Vulnerability Scanning,"Automated Vulnerability Scanning – Use of tools to automatically identify known vulnerabilities (NIST SP 800-115)."
Availability,"Availability – The property of being accessible and usable upon demand by an authorized entity (ISO/IEC 27000:2022)."
Backscatter,"Backscatter – Unintended echo of network traffic, often used in DDoS amplification (NIST SP 800-61)."
Baseline Security Posture,"Baseline Security Posture – The minimum set of security controls required for an organization's systems (NIST SP 800-53)."
Bastion,"Bastion – A hardened system exposed to the internet for limited services (NIST SP 800-41)."
Behavioral Analytics,"Behavioral Analytics – Use of machine learning to detect unusual user or system behavior (SANS)."
Biba Model,"Biba Model – Integrity model preventing information flow from low-integrity to high-integrity subjects (NIST IR 7298)."
Biometrics,"Biometrics – Automated recognition of individuals based on biological traits (NIST SP 800-76)."
Bit-Splitting,"Bit-Splitting – Distributing bits of a key across multiple parties for secure storage (NIST SP 800-57)."
Blacklisting,"Blacklisting – Denying access to known malicious entities (NIST SP 800-179)."
Blockchain Forensics,"Blockchain Forensics – Analysis of blockchain transactions for investigative purposes (SWGDE)."
Block Cipher Mode,"Block Cipher Mode – Method of applying block ciphers, e.g., CBC or GCM (NIST SP 800-38A)."
Blue Teaming,"Blue Teaming – Defensive exercises to improve incident response capabilities (SANS)."
Boot Integrity,"Boot Integrity – Ensuring the boot process loads only trusted code (NIST SP 800-193)."
Bot Herder,"Bot Herder – Synonym for botmaster, controlling botnets (NIST SP 800-83)."
Boundary Protection,"Boundary Protection – Controls at network perimeters to prevent unauthorized entry (NIST SP 800-41)."
Breach Notification,"Breach Notification – Requirement to inform affected parties of a data breach (GDPR)."
Bring Your Own Cloud (BYOC),"Bring Your Own Cloud (BYOC) – Employees using personal cloud services for work (NIST SP 800-146)."
Brute-Force Password Attack,"Brute-Force Password Attack – Exhaustive trial of all possible passwords (NIST SP 800-63B)."
Buffer Overflow Protection,"Buffer Overflow Protection – Mitigations like ASLR to prevent exploitation (CWE-120)."
Business Associate Agreement (BAA),"Business Associate Agreement (BAA) – Contract for HIPAA compliance in third-party handling of PHI (HIPAA)."
Business Impact Analysis (BIA),"Business Impact Analysis (BIA) – Assessment of potential effects of disruptions to business operations (ISO/IEC 22301)."
Business Process Reengineering,"Business Process Reengineering – Redesigning processes to incorporate security (NIST SP 800-53)."
Byte,"Byte – Unit of digital information, typically 8 bits (NIST IR 7298)."
Cache,"Cache – Temporary storage for quick data access, vulnerable to poisoning (RFC 1035)."
Capability Maturity Model (CMM),"Capability Maturity Model (CMM) – Framework for process improvement in security (NIST)."
Cardholder Data Environment (CDE),"Cardholder Data Environment (CDE) – Systems handling card data in PCI DSS (PCI SSC)."
Carving Tool,"Carving Tool – Software for file carving in forensics, e.g., Scalpel (NIST SP 800-86)."
Certificate Pinning,"Certificate Pinning – Associating a specific certificate with a host to prevent MITM (OWASP)."
Certificate Transparency (CT),"Certificate Transparency (CT) – Public log of certificates to detect mis-issuance (RFC 6962)."
Chain of Evidence,"Chain of Evidence – Documentation maintaining evidence integrity from collection to court (SWGDE)."
Change Control,"Change Control – Process to manage modifications to systems (NIST SP 800-53)."
Change Management,"Change Management – Formal process for approving and implementing changes (ISO/IEC 27002)."
Chief Privacy Officer (CPO),"Chief Privacy Officer (CPO) – Executive responsible for privacy compliance (NIST SP 800-122)."
Cipher Block Chaining (CBC),"Cipher Block Chaining (CBC) – Block cipher mode linking blocks for security (NIST SP 800-38A)."
Clark-Wilson Model,"Clark-Wilson Model – Integrity model for commercial systems (NIST IR 7298)."
Clarke-Wilson Integrity Model,"Clarke-Wilson Integrity Model – Model enforcing well-formed transactions (NIST)."
Cloud Access Security Broker (CASB) Visibility,"Cloud Access Security Broker (CASB) Visibility – Monitoring cloud usage for threats (Gartner)."
Cloud Computing,"Cloud Computing – Delivery of computing services over the internet (NIST SP 800-145)."
Cloud Service Provider (CSP),"Cloud Service Provider (CSP) – Entity providing cloud services (NIST SP 800-146)."
Code Review,"Code Review – Manual or automated examination of source code for vulnerabilities (OWASP)."
Cold Site,"Cold Site – Backup facility without pre-installed equipment (NIST SP 800-34)."
Common Misuse Scoring System (CMSS),"Common Misuse Scoring System (CMSS) – Scoring for misuse cases in threat modeling (MITRE)."
Common Vulnerability Enumeration (CVE),"Common Vulnerability Enumeration (CVE) – Unique identifiers for vulnerabilities (MITRE)."
Compliance Audit,"Compliance Audit – Verification of adherence to standards and regulations (ISO/IEC 27001)."
Computer Forensics,"Computer Forensics – Subset of digital forensics focused on computers (NIST SP 800-86)."
Confidential Computing,"Confidential Computing – Protection of data in use through hardware enclaves (NIST)."
Confidentiality Agreement,"Confidentiality Agreement – Legal contract protecting sensitive information (NIST SP 800-53)."
Configuration Auditing,"Configuration Auditing – Verification that configurations match baselines (NIST SP 800-128)."
Configuration Baseline,"Configuration Baseline – Approved configuration for systems (NIST SP 800-128)."
Configuration Drift,"Configuration Drift – Unintended changes to configurations over time (NIST SP 800-128)."
Continuous Diagnostics and Mitigation (CDM),"Continuous Diagnostics and Mitigation (CDM) – Program for real-time asset management (DHS)."
Continuous Integration/Continuous Deployment (CI/CD),"Continuous Integration/Continuous Deployment (CI/CD) – DevOps practices with security integration (OWASP)."
Control,"Control – Measure to modify risk, e.g., technical or administrative (ISO/IEC 27000)."
Cookie Poisoning,"Cookie Poisoning – Manipulation of cookies to alter session data (OWASP)."
Corporate Governance,"Corporate Governance – Oversight of organizational management including security (ISO/IEC 27001)."
Covert Storage Channel,"Covert Storage Channel – Channel for unauthorized data storage (NIST SP 800-53)."
Credential Guard,"Credential Guard – Windows feature isolating secrets from processes (Microsoft)."
Credential Reset,"Credential Reset – Process to change compromised credentials (NIST SP 800-63B)."
Critical Security Control,"Critical Security Control – Essential practices from CIS Controls (CIS)."
Cross-Domain Solution (CDS),"Cross-Domain Solution (CDS) – System transferring data between security domains (NIST SP 800-53)."
Cryptographic Module,"Cryptographic Module – Hardware or software implementing crypto functions (FIPS 140-2)."
Cryptographic Protocol,"Cryptographic Protocol – Protocol using cryptography for secure communication, e.g., TLS (RFC 8446)."
Cryptoperiod,"Cryptoperiod – Time span during which a key is authorized for use (NIST SP 800-57)."
Cyber Hygiene,"Cyber Hygiene – Basic practices to maintain system security, like patching (NIST)."
Cyber Insurance,"Cyber Insurance – Policy covering financial losses from cyber incidents (NIST IR 7621)."
Cyber-Physical System (CPS),"Cyber-Physical System (CPS) – Systems integrating computation and physical processes (NIST)."
Cyber-Resilient,"Cyber-Resilient – Ability to prepare for, respond to, and recover from cyber attacks (NIST SP 800-160)."
Cybersecurity Framework (CSF),"Cybersecurity Framework (CSF) – NIST framework for managing cybersecurity risk (NIST CSF 2.0)."
Data Aggregation,"Data Aggregation – Combining data from multiple sources, potentially revealing sensitive info (NIST SP 800-122)."
Data Anonymization,"Data Anonymization – Irreversibly de-identifying data (NIST SP 800-122)."
Data Controller,"Data Controller – Entity determining purposes and means of processing personal data (GDPR)."
Data Custodian,"Data Custodian – Entity responsible for storing and protecting data (NIST SP 800-53)."
Data Diode,"Data Diode – Device enforcing one-way data flow (NIST)."
Data Encryption at Rest,"Data Encryption at Rest – Encrypting stored data (NIST SP 800-111)."
Data Encryption in Transit,"Data Encryption in Transit – Encrypting data during transmission (NIST SP 800-52)."
Data Leakage Prevention,"Data Leakage Prevention – Controls to prevent unauthorized data exfiltration (NIST SP 800-53)."
Data Loss,"Data Loss – Unintended destruction or corruption of data (NIST SP 800-53)."
Data Masking,"Data Masking – Obscuring sensitive data in non-production environments (NIST)."
Data Minimization Principle,"Data Minimization Principle – Collect only necessary data (GDPR)."
Data Obfuscation,"Data Obfuscation – Making data unintelligible without affecting its structure (NIST)."
Data Ownership,"Data Ownership – Assigning responsibility for data lifecycle (NIST SP 800-53)."
Data Privacy,"Data Privacy – Rights of individuals over their personal data (NIST SP 800-122)."
Data Processor,"Data Processor – Entity processing data on behalf of controller (GDPR)."
Data Protection Impact Assessment (DPIA),"Data Protection Impact Assessment (DPIA) – Risk assessment for high-risk processing (GDPR)."
Data Retention Policy,"Data Retention Policy – Rules for how long data is kept (NIST SP 800-53)."
Data Sanitization Method,"Data Sanitization Method – Techniques like overwriting or destruction (NIST SP 800-88)."
Data Spillage Response,"Data Spillage Response – Procedures for handling unauthorized data exposure (NIST)."
Data Steward,"Data Steward – Role overseeing data quality and policy compliance (NIST)."
Data Subject,"Data Subject – Individual whose personal data is processed (GDPR)."
Data Synchronization,"Data Synchronization – Aligning data across systems (NIST SP 800-53)."
